Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,,,,,
KRBXXP5V,journalArticle,2011,"Cornelis, J.-T.; Delvaux, B.; Georg, R. B.; Lucas, Y.; Ranger, J.; Opfergelt, S.",Tracing the origin of dissolved silicon transferred from various soil-plant systems towards rivers: a review,Biogeosciences,,1726-4189,10.5194/bg-8-89-2011,http://www.biogeosciences.net/8/89/2011/,"Silicon (Si) released as H4SiO4 by weathering of Si-containing solid phases is partly recycled through vegetation before its land-to-rivers transfer. By accumulating in terrestrial plants to a similar extent as some major macronutrients (0.1–10% Si dry weight), Si becomes largely mobile in the soil-plant system. Litter-fall leads to a substantial reactive biogenic silica pool in soil, which contributes to the release of dissolved Si (DSi) in soil solution. Understanding the biogeochemical cycle of silicon in surface environments and the DSi export from soils into rivers is crucial given that the marine primary bio-productivity depends on the availability of H4SiO4 for phytoplankton that requires Si. Continental ﬂuxes of DSi seem to be deeply inﬂuenced by climate (temperature and runoff) as well as soil-vegetation systems. Therefore, continental areas can be characterized by various abilities to transfer DSi from soil-plant systems towards rivers. Here we pay special attention to those processes taking place in soil-plant systems and controlling the Si transfer towards rivers. We aim at identifying relevant geochemical tracers of Si pathways within the soil-plant system to obtain a better understanding of the origin of DSi exported towards rivers. In this review, we compare different soilplant systems (weathering-unlimited and weathering-limited environments) and the variations of the geochemical tracers (Ge/Si ratios and δ30Si) in DSi outputs. We recommend the use of biogeochemical tracers in combination with Si massbalances and detailed physico-chemical characterization of soil-plant systems to allow better insight in the sources and fate of Si in these biogeochemical systems.",,,,,
CT5PQYQX,journalArticle,2013,"Lauerwald, Ronny; Hartmann, Jens; Moosdorf, Nils; Dürr, Hans H.; Kempe, Stephan",Retention of dissolved silica within the fluvial system of the conterminous USA,Biogeochemistry,,0168-2563,,https://www.jstor.org/stable/24715364,"Dissolved silica (DSi) is an important nutrient in aquatic ecosystems. Increased DSi retention within the fluvial system due to damming and eutrophication has led to a decrease in DSi exports to coastal waters, which can have severe consequences for coastal areas where ecosystem functioning depends on fluvial DSi inputs. The analysis of fluvial DSi fluxes and DSi retention at regional to global scales is thus an important research topic. This study explores the possibility to empirically assess regional DSi retention based on a spatially explicit estimation of DSi mobilization and fluvial DSi fluxes calculated from hydrochemical monitoring data. The uncertainty of DSi retention rates (rDSi) estimated for particular rivers is high. Nevertheless, for the St. Lawrence River (rDSi = 91 %) and the Mississippi River (rDSi = 13 %) the estimated DSi retention rates are reasonable and are supported by literature values. The variety of sources of the uncertainty in the DSi retention assessment is discussed.",,,,,
8RQ6C7PG,journalArticle,2016,"Ibarra, Daniel E.; Caves, Jeremy K.; Moon, Seulgi; Thomas, Dana L.; Hartmann, Jens; Chamberlain, C. Page; Maher, Kate",Differential weathering of basaltic and granitic catchments from concentration–discharge relationships,Geochimica et Cosmochimica Acta,,0016-7037,10.1016/j.gca.2016.07.006,http://www.sciencedirect.com/science/article/pii/S0016703716303866,"A negative feedback between silicate weathering rates and climate is hypothesized to play a central role in moderating atmospheric CO2 concentrations on geologic timescales. However, uncertainty regarding the processes that regulate the operation of the negative feedback limits our ability to interpret past variations in the ocean–atmosphere carbon cycle. In particular, the mechanisms that determine the flux of weathered material for a given climatic state are still poorly understood. Here, we quantify the processes that determine catchment-scale solute fluxes for two lithologic end-members—basalt and granite—by applying a recently developed solute production model that links weathering fluxes to both discharge and the reactivity of the weathering material. We evaluate the model against long-term monitoring of concentration–discharge relationships from basaltic and granitic catchments to determine the parameters associated with solute production in each catchment. Higher weathering rates in basaltic catchments relative to granitic catchments are driven by differing responses to increases in runoff, with basaltic catchments showing less dilution with increasing runoff. In addition, results from the solute production model suggest that thermodynamic constraints on weathering reactions could explain higher concentrations in basaltic catchments at lower runoff compared to granitic catchments. To understand how the response to changing discharge controls weathering fluxes under different climatic states, we define basalt/granite weatherability as the ratio of the basalt catchment flux to the granite catchment flux. This weatherability is runoff-dependent and increases with increasing runoff. For HCO3− and SiO2(aq) fluxes, for modern global runoff, the derived mean basalt/granite weatherability is 2.2 (1.3–3.7, 2σ) and 1.7 (1.6–2.1, 2σ), respectively. Although we cannot determine the array of individual processes resulting in differences among catchments, the relative differences in certain model parameters that represent catchment-scale weathering fluxes of granitic and basaltic lithologies are robust. Our approach provides a mechanism that links runoff with the distribution of global sub-aerial silicate lithologies to understand how the basalt/granite weatherability of the Earth’s surface may have varied on geologic timescales. The relationships between basalt/granite weatherability and runoff derived in this study could be used to parameterize the silicate weathering negative feedback to model past changes in pCO2.",,,,,
GTC7G33P,journalArticle,2010,"Jansen, Nils; Hartmann, Jens; Lauerwald, Ronny; Dürr, Hans H.; Kempe, Stephan; Loos, Sibren; Middelkoop, Hans",Dissolved silica mobilization in the conterminous USA,Chemical Geology,,0009-2541,10.1016/j.chemgeo.2009.11.008,http://www.sciencedirect.com/science/article/pii/S0009254109004586,"Silicate weathering mobilizes “fresh” dissolved silica (DSi). The major factors governing DSi mobilization by chemical weathering on continental or global scales have not been satisfactorily quantified. Furthermore, influence of regional variations of proposed factors on large scale DSi mobilization is not properly assessed. A continental-scale, process-oriented, empirical model for DSi mobilization is developed to assess this research gap. The model is calibrated on river chemistry data from 142 monitoring stations from the conterminous USA, selected for minimal anthropogenic and water–body influence in their catchments. The average area of the catchments is 3890km2. The average observed DSi yield of the catchments is 2.68t SiO2 km−2a−1. The model calculates DSi yield as subject to catchment attributes, i.e. climate, lithology, land cover and morphology. As lithological source data for the model, a new lithological map of North America was developed. The high spatial resolution of the new map allows assessment of lithology classes with mapped extents as small as 0.5km2. The average lithology polygon size is 75km2. The developed multi-lithological, non-linear, lumped model for annual DSi mobilization describes 89% of the observed variance of DSi yield. It uses lithology proportion and runoff as predictors. With runoff, DSi yield increases differently for individual lithological classes. Basic igneous rocks show the highest DSi yields with respect to a given runoff. Consolidated sedimenary lithological classes yield DSi in the reversed order of their defined silicon contents. Of all lithological classes, the least DSi per runoff is mobilized from acid plutonic rocks. Apart from the two major predictors, analysis of the model also provides evidence for an influence of temperature and land cover on DSi mobilization. Comparison with existing studies shows that controlling factors on DSi mobilization vary regionally. Thus, studies calibrated in different regions result in significantly different DSi yields for comparable lithological classes. This emphasizes the need for global DSi mobilization models to be regionally calibrated.",,,,,
Z7H97EZA,journalArticle,,"Fredriksen, R L",Nutrient budget of forest on an experi watershed in weste,,,,,,"Annual loss o f nitrogen, phosphorus, silica, and the cations sodium, potassium, calcium, and magnesium followed the same patternas annual runoff which is heavily dominated By winier rainstorms arising from the Pacific Ocean. Even though 170 and 135 cm of water passed through this Douglas-fir ecosystem for the 2 years reported here, this ecosystem conserved nitrogen effectively as indicated by an average annual dissolved nitrogen outflow o f 0.5 kg/ha from an annual average input o f 1.0 kg/ha in precipitation. There was a small annual net ioss of phosphorus (0.25 kg/ha). Cation input in precipitation was less than 10percent of sources from mineral weathering-indicating that mineral weathering was the principal source o f cations to the system. Average annual net losses o f calcium, sodium, magnesium, and potassium were: 47, 28, 11, and 1.5 kg/ha, respectively. Silica loss o f 99 kg/ha-yr was the largest o f all constituents and came entirely from within the forest system. Although loss o f sediment was low during the period o f study, loss o f nutrients by soil erosion may become of major importance over a longer time scale due to widely spaced unsampled catastrophic erosion.",,,,,
ER9P3MUF,journalArticle,1951,"Armstrong, F. A. J.",The determination of silicate in sea water,Journal of the Marine Biological Association of the United Kingdom,,"0025-3154, 1469-7769",10.1017/S0025315400012649,https://www.cambridge.org/core/product/identifier/S0025315400012649/type/journal_article,"Silicon in sea water may be present in suspension, in particles of clay or sand, as a constituent of diatoms, etc., or in solution. Some silicon in solution occurs in the form of silicate. This is usually estimated by the colorimetric method of Diénert & Wandenbulcke (1923), which makes use of the yellow colour of the silicomolybdic acid which is formed when ammonium molybdate and sulphuric acid are added to the water (Atkins, 1923). The colour may be compared with that of standard solutions of picric acid (Diénert & Wandenbulcke, 1923) or potassium chromate (Swank & Mellon, 1934). The method is simple but the colour in sea water is often faint and is not easy to match visually, nor is its intensity strictly proportional to the concentration of silicate. Less colour is produced in sea water than in standard solutions made with distilled water and this ‘salt error’ must be allowed for (Brujewicz & Blinov, 1933; Wattenberg, 1937; Robinson & Spoor, 1936).",,,,,
EJH8VXCP,journalArticle,2001,"Hornberger, George M.; Scanlon, Todd M.; Raffensperger, Jeff P.",Modelling transport of dissolved silica in a forested headwater catchment: the effect of hydrological and chemical time scales on hysteresis in the concentration–discharge relationship,Hydrological Processes,,1099-1085,10.1002/hyp.254,http://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.254,"The relationship between concentration c and discharge Q in a stream is one of the aspects of hydrochemical catchment response that has been used widely as a diagnostic. In particular, loops in the c–Q curve, commonly referred to as hysteresis loops, are used to infer particular mixing patterns. At the South Fork of Brokenback Run (SFBR) in the Shenandoah National Park, Virginia, we have evidence that stream dynamics reflect a system composed of an ephemeral subsurface stormflow zone perched above a perennial water table. The relationship between dissolved silica and stream discharge exhibits hysteresis in the clockwise (CW) direction. Modelling this relationship in the context of three-component mixing with constant-concentration end members failed to reproduce the observed c–Q pattern. In this paper we examine the possibility that temporal variation in soil-water concentrations of silica can explain how CW hysteresis loops in the c–Q curve can arise. In particular, we examine the role of the ratio of a hydrological time scale to a chemical time scale in determining the nature of hysteresis loops. The CW loops that we observe in SFBR can be explained by time variability in soil-water concentrations only if the chemical (leaching) time constant is less than (or only slightly greater than) the hydrological time constant. The near equality of these time constants is consistent with reports from hydrological measurements and leaching experiments. Copyright © 2001 John Wiley & Sons, Ltd.",,,,,
6RINA9R7,journalArticle,2001,"Scanlon, Todd M.; Raffensperger, Jeff P.; Hornberger, George M.",Modeling transport of dissolved silica in a forested headwater catchment: Implications for defining the hydrochemical response of observed flow pathways,Water Resources Research,,1944-7973,10.1029/2000WR900278,http://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2000WR900278,"Groundwater, subsurface stormflow, and overland flow components of discharge, derived from a hydrological model that was applied to a forested headwater catchment in north central Virginia, were used with measured stream water and lysimeter concentrations of dissolved silica to investigate the hydrochemical behavior of the catchment. Concentrations in base flow, taken to be a reflection of groundwater, vary with discharge, an observation in conflict with the typical assumption of constant concentration used in end-member mixing analyses. This observed flow dependence was modeled by considering the concentration in groundwater to be related to the saturation deficit in this zone. A positive correlation between the average groundwater saturation deficit and base flow dissolved silica concentrations is consistent with batch experiments and petrographic analysis of regolith core samples, which both indicate an increase in silica available for dissolution with depth in the groundwater zone. In the absence of subsurface storm flow zone sampling during rainfall events a constant concentration was assumed for this zone. Concentration-discharge (C-Q) paths in the stream were used to evaluate the modeled stream silica concentrations. An inconsistency in the direction of the modeled C-Q rotations suggests that the storm flow zone dissolved silica concentration may also vary with time, because of the “flushing” of high-concentration, preevent soil water on the rising limb of the storm hydrograph. For this catchment in Virginia the assumption of a constant concentration for subsurface storm flow, as well as for base flow, appears to be invalid.",,,,,
6ERIVR63,journalArticle,2005,"Uchida, Taro; Asano, Yuko; Onda, Yuichi; Miyata, Shuusuke",Are headwaters just the sum of hillslopes?,Hydrological Processes,,1099-1085,10.1002/hyp.6004,http://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.6004,"Until recently, there have been few attempts to link hillslope, headwater and meso-scale hydrology. However, the paper by Shaman et al. (2004, Hydrological Processes 18: 3195–3206) has proposed concepts that link headwater and meso-scale basins. Although their paper provides an excellent example of how we should make connections between small- and large-scale hydrology, the analysis still lacked sufficient consideration of the spatial variability of hydrological behaviour at the hillslope/headwater scale. Here, we extend the discussion of Shaman et al. to smaller sized catchments. We use detailed datasets of hydrometric and hydrochemical measurements collected at the hillslope and small catchment scale at the Fudoji and Ibi catchments in Japan. We show that: (1) large spatial variation in the hydrological responses is present at the hillslope scale and that these responses are strongly controlled by the contribution of water flow from the bedrock into the soil at baseflow; (2) the spatial variability of hydrological responses in headwaters is damped compared with that of the hillslope, and this damping is determined by the integration of the hillslope responses which largely occurs in the stream. Copyright © 2005 John Wiley & Sons, Ltd.",,,,,
MUAWDXE5,journalArticle,2020,"Hirst, Catherine; Opfergelt, Sophie; Gaspard, François; Hendry, Katharine R.; Hatton, Jade E.; Welch, Susan; McKnight, Diane M.; Berry Lyons, W.","Silicon Isotopes Reveal a Non-glacial Source of Silicon to Crescent Stream, McMurdo Dry Valleys, Antarctica",Frontiers in Earth Science,,2296-6463,10.3389/feart.2020.00229,https://www.frontiersin.org/articles/10.3389/feart.2020.00229/full,"In high latitude environments, silicon is supplied to river waters by both glacial and non-glacial chemical weathering. The signal of these two end-members is often obscured by biological uptake and/or groundwater input in the river catchment. McMurdo Dry Valleys streams in Antarctica have no deep groundwater input, no connectivity between streams and no surface vegetation cover, and thus provide a simplified system for us to constrain the supply of dissolved silicon (DSi) to rivers from chemical weathering in a glacial environment. Here we report dissolved Si concentrations, germanium/silicon ratios (Ge/Si) and silicon isotope compositions (δ30SiDSi) in Crescent Stream, McMurdo Dry Valleys for samples collected between December and February in the 2014-2015, 2015-2016 and 2016-2017 austral seasons. The δ30SiDSi compositions and DSi concentrations are higher than values reported in wet-based glacial meltwaters, and form a narrow cluster within the range of values reported for permafrost dominated Arctic Rivers. High δ30SiDSi compositions, ranging from + 0.90 ‰ to + 1.39 ‰, are attributed to (i) the precipitation of amorphous silica during freezing of waters in isolated pockets of the hyporheic zone in the winter and the release of Si from unfrozen pockets during meltwater-hyporheic zone exchange in the austral summer, and (ii) additional Si isotope fractionation via long-term Si uptake in clay minerals and seasonal Si uptake into diatoms superimposed on this winter-derived isotope signal. There is no relationship between δ30SiDSi compositions and DSi concentrations with seasonal and daily discharge, showing that stream waters contain DSi that is in equilibrium with the formation of secondary Si minerals in the hyporheic zone. We show that δ30SiDSi compositions can be used as tracers of silicate weathering in the hyporheic zone and possible tracers of freeze-thaw conditions in the hyporheic zone. This is important in the context of the ongoing warming in McMurdo Dry Valleys and the supply of more meltwaters to the hyporheic zone of McMurdo Dry Valley streams.",,,,,
